year,month,month_name,region,avg_temp_c,max_temp_c,min_temp_c,rainfall_mm,humidity_pct,wind_kmh,pressure_hpa
2023,6,June,Nagpur,37.5,40.8,30.6,175.0,72,16,1006
2023,7,July,Nagpur,30.6,34.0,25.6,272.0,86,18,1008
2023,8,August,Nagpur,29.0,32.2,24.8,245.0,88,17,1009
2023,9,September,Nagpur,29.8,33.3,25.0,148.0,82,14,1011
2023,10,October,Nagpur,30.4,34.8,24.4,60.0,70,10,1013
2023,11,November,Nagpur,27.5,31.8,20.7,18.5,60,8,1015
2023,12,December,Nagpur,23.7,28.1,15.7,5.1,58,8,1016
2024,1,January,Nagpur,23.0,28.2,14.1,8.5,55,8,1015
2024,2,February,Nagpur,26.0,31.9,16.0,6.0,50,9,1013
2024,3,March,Nagpur,31.0,37.5,21.0,4.0,45,10,1010
2024,4,April,Nagpur,36.0,42.0,27.0,2.0,42,11,1007
2024,5,May,Nagpur,41.0,45.0,33.0,12.0,48,12,1005
2024,6,June,Nagpur,37.0,40.0,30.0,180.0,72,16,1006
2024,7,July,Nagpur,30.0,33.0,25.0,280.0,85,18,1008
2024,8,August,Nagpur,28.0,31.0,24.0,250.0,88,17,1009
2024,9,September,Nagpur,29.0,32.0,24.0,140.0,82,14,1011
2024,10,October,Nagpur,30.0,34.0,24.0,60.0,70,10,1013
2024,11,November,Nagpur,27.0,31.0,20.0,18.0,60,8,1015
2024,12,December,Nagpur,23.0,27.0,15.0,5.0,58,8,1016
2024,1,January,Kerala,27.0,31.5,22.5,28.0,82,10,1012
2024,2,February,Kerala,28.0,32.0,23.0,22.0,80,10,1012
2024,3,March,Kerala,29.5,33.5,24.5,38.0,78,11,1010
2024,4,April,Kerala,30.5,34.0,26.0,105.0,84,12,1008
2024,5,May,Kerala,30.0,33.5,26.0,210.0,88,14,1007
2024,6,June,Kerala,28.0,31.0,24.5,620.0,92,18,1006
2024,7,July,Kerala,27.5,30.5,24.0,580.0,93,17,1006
2024,8,August,Kerala,27.5,30.5,24.0,420.0,92,16,1007
2024,9,September,Kerala,28.0,31.0,24.5,240.0,89,14,1009
2024,10,October,Kerala,28.5,32.0,24.5,285.0,87,12,1010
2024,11,November,Kerala,28.0,32.0,23.5,180.0,84,10,1011
2024,12,December,Kerala,27.5,31.5,22.5,40.0,81,10,1012
2024,1,January,Rajasthan,15.0,22.0,7.0,3.0,48,12,1018
2024,2,February,Rajasthan,18.0,26.0,9.0,2.0,42,13,1016
2024,3,March,Rajasthan,25.0,34.0,14.0,4.0,32,15,1013
2024,4,April,Rajasthan,32.0,41.0,21.0,2.0,25,16,1009
2024,5,May,Rajasthan,38.0,47.0,28.0,8.0,22,18,1006
2024,6,June,Rajasthan,36.0,45.0,28.0,25.0,35,20,1005
2024,7,July,Rajasthan,31.0,40.0,25.0,85.0,60,18,1006
2024,8,August,Rajasthan,30.0,38.0,24.0,70.0,62,17,1007
2024,9,September,Rajasthan,29.0,38.0,22.0,30.0,50,14,1009
2024,10,October,Rajasthan,26.0,34.0,16.0,5.0,38,12,1012
2024,11,November,Rajasthan,19.0,27.0,10.0,2.0,44,11,1016
2024,12,December,Rajasthan,14.0,21.0,5.0,2.0,50,11,1018
2024,1,January,Punjab,10.0,16.0,4.0,25.0,72,8,1018
2024,2,February,Punjab,13.0,19.0,6.0,30.0,68,9,1016
2024,3,March,Punjab,19.0,26.0,11.0,22.0,58,10,1013
2024,4,April,Punjab,26.0,34.0,17.0,15.0,45,12,1009
2024,5,May,Punjab,32.0,40.0,23.0,18.0,38,13,1006
2024,6,June,Punjab,34.0,42.0,27.0,45.0,48,15,1005
2024,7,July,Punjab,31.0,36.0,26.0,145.0,72,16,1006
2024,8,August,Punjab,30.0,35.0,25.0,125.0,74,15,1007
2024,9,September,Punjab,28.0,34.0,22.0,55.0,65,12,1009
2024,10,October,Punjab,22.0,29.0,14.0,10.0,52,10,1013
2024,11,November,Punjab,14.0,21.0,7.0,8.0,60,8,1016
2024,12,December,Punjab,9.0,15.0,2.0,18.0,70,8,1018
